Squat,Bench,Deadlift,Total,Gender
365,215,385,965,Male
285,225,420,930,Male
275,215,300,790,Male
390,315,420,1125,Male
232.5,140,232.5,605,Female
315,235,360,910,Male
70,70,70,210,Female
335,245,405,985,Male
315,150,345,810,Female
215,130,225,570,Female
405,95,315,815,Male
460,300,425,1185,Male
235,225,305,765,Male
425,275,455,1155,Male
347.2,259,474,1080.2,Male
215,175,315,705,Male
385,295,450,1130,Male
380,305,415,1100,Male
375,255,455,1085,Male
355,275,405,1035,Male
385,240,475,1100,Male
315,225,350,890,Male
280,187.5,260,727.5,Male
455,335,525,1315,Male
320,290,400,1010,Male
415,375,430,1220,Male
345,225,365,935,Male
225,145,0,370,Female
235,100,250,585,Female
365,325,415,1105,Male
405,320,415,1140,Male
390,345,545,1280,Male
191,165,315,671,Male
510,315,480,1305,Male
415,260,525,1200,Male
410,275,540,1225,Male
405,235,420,1060,Male
440,350,455,1245,Male
182,115,219,516,Female
165,175,295,635,Male
245,125,235,605,Female
389,319,561,1269,Male
190,135,215,540,Female
505,0,515,1020,Male
225,195,315,735,Male
435,295,425,1155,Male
740,481,750,1971,Male
305,205,365,875,Male
230,145,284,659,Male
600,425,615,1640,Male
365,245,405,1015,Male
555,430,525,1510,Male
525,315,585,1425,Male
260,180,260,700,Male
345,275,375,995,Male
215,105,265,585,Female
185,95,185,465,Male
525,315,525,1365,Male
345,265,385,995,Male
225,225,405,855,Male
70,40,75,185,Female
350,250,365,965,Male
465,405,545,1415,Male
295,160,315,770,Female
405,275,435,1115,Male
400,300,485,1185,Male
265,225,295,785,Male
365,255,435,1055,Male
0,210,0,210,Male
365,227.5,405,997.5,Male
205,205,205,615,Male
300,275,355,930,Male
370,290,520,1180,Male
345,280,475,1100,Female
511,298,671,1480,Male
425,295,475,1195,Male
225,220,320,765,Male
465,225,435,1125,Female
203.3,107.5,240,550.8,Male
185,145,255,585,Female
485,325,525,1335,Male
175,125,235,535,Male
330,266,330,926,Male
395,275,445,1115,Male
530,340,515,1385,Male
335,240,460,1035,Male
184,169,159,512,Male
425,320,495,1240,Male
315,215,395,925,Male
475,315,475,1265,Male
385,225,405,1015,Male
295,295,316,906,Male
140,120,170,430,Male
385,285,435,1105,Male
225,125,275,625,Female
405,315,440,1160,Male
255,225,350,830,Male
295,225,315,835,Male
325,275,0,600,Male
510,275,505,1290,Male
275,255,335,865,Male
335,235,430,1000,Male
505,345,550,1400,Male
315,285,400,1000,Male
315,275,375,965,Male
100,80,125,305,Female
95,55,125,275,Female
220,170,210,600,Male
285,295,325,905,Male
161,85,215,461,Female
315,245,375,935,Male
235,235,255,725,Male
170,90,195,455,Male
235,135,275,645,Female
495,385,475,1355,Male
450,250,0,700,Male
625,450,725,1800,Male
300,225,385,910,Male
95,75,145,315,Female
385,305,385,1075,Male
350,250,455,1055,Male
375,245,400,1020,Male
225,155,255,635,Female
405,365,465,1235,Male
175,115,225,515,Female
600,415,625,1640,Male
500,365,585,1450,Male
300,207.5,330,837.5,Female
315,235,385,935,Male
385,255,455,1095,Male
225,140,245,610,Female
500,300.9,501.5,1302.4,Male
295,165,315,775,Female
425,315,585,1325,Male
220,130,250,600,Male
280,202.5,340,822.5,Male
325,255,420,1000,Male
290,210,390,890,Male
265,155,275,695,Female
835,475,625,1935,Male
0,283,0,283,Male
315,225,405,945,Male
135,112.5,160,407.5,Male
446,305,507,1258,Male
385,245,435,1065,Male
455,230,405,1090,Female
455,315,500,1270,Male
565,405,635,1605,Male
220,150,305,675,Female
225,155,275,655,Male
185,185,185,555,Male
360,315,455,1130,Male
455,365,480,1300,Male
